city,Population (2013),Budget,Mayor,Took office,Term ends,Government type,City elections in 2021?,Mayoral election in 2021?,rank,usps,pop2021,pop2010,growth,density,aland_sqmi,Rank_y,2010 population,2012 population,Growth / Decline,Jan,April,July,Oct ,Precip “,precip days,snowfall
St. Petersburg,249688,"$483,000,000",Rick Kriseman (D),2014,2022,Strong mayor,Yes,Yes,80,FL,267121,245222,0.0893,4318,61.864,78.0,244769.0,246541.0,1772.0,,,,,,,
Chandler,249146,"$783,000,000",Kevin Hartke (Nonpartisan),2019,2023,Council-manager,No,No,78,AZ,269123,236454,0.1382,4132,65.124,80.0,236123.0,245628.0,9505.0,,,,,,,
Laredo,248142,"$556,000,000",Pete Saenz (I),2014,2022,Council-manager,No,No,82,TX,265761,236807,0.1223,2513,105.743,81.0,236091.0,244731.0,8640.0,,,,,,,
Norfolk,246139,"$1,100,000,000",Kenneth Alexander (D),2016,2024,Council-manager,Yes,No,94,VA,241056,242999,-0.008,4525,53.275,79.0,242803.0,245782.0,2979.0,40.1,57.4,79.1,61.1,45.74,116.0,7.8
Durham,245475,"$389,900,000",Steve Schewel (D),2017,2021,Council-manager,Yes,Yes,72,NC,287865,230727,0.2476,2565,112.221,83.0,228330.0,239358.0,11028.0,,,,,,,
Madison,243344,"$283,100,000",Satya Rhodes-Conway (D),2019,2023,Strong mayor,Yes,No,86,WI,263332,233730,0.1267,3319,79.339,82.0,233209.0,240323.0,7114.0,17.3,45.9,71.6,49.3,32.95,120.0,43.8
Lubbock,239538,"$674,500,000",Dan Pope (R),2016,2022,Council-manager,No,No,85,TX,263648,231105,0.1408,1957,134.723,84.0,229573.0,236065.0,6492.0,,,,,,,
Irvine,236716,"$401,000,000",Farrah Khan (D),2020,2022,Council-manager,No,No,68,CA,298739,213450,0.3996,4553,65.619,91.0,212375.0,229985.0,17610.0,,,,,,,
Winston-Salem,236441,"$414,700,000",Allen Joines (D),2001,2024,Council-manager,No,No,91,NC,250765,230022,0.0902,1891,132.614,85.0,229617.0,234349.0,4732.0,,,,,,,
Glendale,234632,"$632,000,000",Jerry Weiers (R),2013,2024,Council-manager,No,No,89,AZ,257233,226236,0.137,4176,61.592,87.0,226721.0,232143.0,5422.0,,,,,,,
Glendale,234632,"$632,000,000",Jerry Weiers (R),2013,2024,Council-manager,No,No,134,CA,196533,191720,0.0251,6450,30.471,87.0,226721.0,232143.0,5422.0,,,,,,,
Garland,234566,"$629,100,000",Scott LeMay (R),2019,2023,Council-manager,Yes,Yes,96,TX,236366,227345,0.0397,4142,57.06,86.0,226876.0,233564.0,6688.0,,,,,,,
Hialeah,233394,"$257,000,000",Carlos Hernandez (R),2011,2021,Strong mayor,Yes,Yes,100,FL,230135,225470,0.0207,10664,21.581,88.0,224669.0,231941.0,7272.0,,,,,,,
Reno,233294,"$492,000,000",Hillary Schieve (Nonpartisan),2014,2022,Council-manager,No,No,81,NV,266511,225652,0.1811,2451,108.744,89.0,225221.0,231027.0,5806.0,33.6,48.6,71.3,52.0,7.48,51.0,24.3
Chesapeake,230571,"$937,800,000",Richard West (R),2008,2024,Council-manager,Yes,No,92,VA,249787,223556,0.1173,738,338.51,92.0,222209.0,228417.0,6208.0,,,,,,,
Gilbert,229972,"$615,000,000",Brigette Peterson (R),2021,2025,Hybrid,No,No,87,AZ,262514,209493,0.2531,3834,68.475,,,,,,,,,,,
Baton Rouge,229426,"$830,000,000",Sharon Weston Broome (D),2017,2024,Strong mayor,Yes,No,108,LA,216328,229374,-0.0569,2502,86.449,90.0,229493.0,230058.0,565.0,50.1,66.6,81.7,68.1,63.08,110.0,0.2
Irving,228653,"$526,500,000",Rick Stopfer (R),2017,2023,Council-manager,Yes,No,95,TX,236546,216859,0.0908,3527,67.06,93.0,216290.0,225427.0,9137.0,,,,,,,
Scottsdale,226918,"$1,200,000,000",David Ortega (I),2021,2025,Council-manager,No,No,83,AZ,265249,217638,0.2188,1442,183.987,94.0,217385.0,223514.0,6129.0,,,,,,,
North Las Vegas,226877,"$413,890,000",John J. Lee (R),2013,2022,Council-manager,No,No,84,NV,265224,216836,0.2232,2706,98.015,95.0,216961.0,223491.0,6530.0,,,,,,,
Fremont,224922,"$238,460,000",Lily Mei (Nonpartisan),2016,2024,Council-manager,No,No,93,CA,247708,214553,0.1545,3198,77.465,96.0,214089.0,221986.0,7897.0,,,,,,,
Boise,214237,"$514,900,000",Lauren McLean (D),2020,2024,Strong mayor,Yes,No,101,ID,229993,209576,0.0974,2749,83.674,99.0,205671.0,212303.0,6632.0,30.2,50.6,74.7,52.8,12.19,89.0,20.6
San Bernardino,213708,"$128,000,000",John Valdivia (R),2018,2022,Council-manager,No,No,110,CA,214706,210637,0.0193,3457,62.108,98.0,209924.0,213295.0,3371.0,,,,,,,
Birmingham,212113,"$411,000,000",Randall L. Woodfin (D),2017,2021,Strong mayor,Yes,Yes,116,AL,207235,212328,-0.024,1419,146.076,100.0,212237.0,212038.0,-199.0,42.6,61.3,80.2,62.9,53.99,117.0,1.5
Richmond,207878,"$1,722,417,160",Levar Stoney (D),2016,2024,Strong mayor,Yes,No,99,VA,232866,204302,0.1398,3886,59.923,,,,,36.4,57.1,77.9,58.3,43.91,114.0,13.8
