CoC Number,CoC Name,City,CocState
PR-503,South-Southeast Puerto Rico CoC,San Juan,PR
RI-500,Rhode Island Statewide CoC,Westerly,RI
SC-500,Charleston/Low Country CoC,Charleston,SC
SC-501,"Greenville, Anderson, Spartanburg/Upstate CoC",SPARTANBURG,SC
SC-502,Columbia/Midlands CoC,Columbia,SC
SC-503,"Myrtle Beach, Sumter City & County CoC",Camden,SC
SD-500,South Dakota Statewide CoC,Pierre,SD
TN-500,Chattanooga/Southeast Tennessee CoC,CHATTANOOGA,TN
TN-501,Memphis/Shelby County CoC,Memphis,TN
TN-502,Knoxville/Knox County CoC,KNOXVILLE,TN
TN-503,Central Tennessee CoC,Hohlenwald,TN
TN-504,Nashville-Davidson County CoC,Nashville,TN
TN-506,Upper Cumberland CoC,COOKEVILLE,TN
TN-507,Jackson/West Tennessee CoC,JACKSON,TN
TN-509,Appalachian Regional CoC,KINGSPORT,TN
TN-510,Murfreesboro/Rutherford County CoC,Murfreesboro,TN
TN-512,"Morristown/Blount, Sevier, Campbell, Cocke Counties CoC",Knoxville,TN
TX-500,San Antonio/Bexar County CoC,San Antonio,TX
TX-503,Austin/Travis County CoC,Austin,TX
TX-600,"Dallas City & County, Irving CoC",Plano,TX
TX-601,"Fort Worth, Arlington/Tarrant County CoC",Fort Worth,TX
TX-603,El Paso City & County CoC,EL PASO,TX
TX-604,Waco/McLennan County CoC,WACO,TX
TX-607,Texas Balance of State CoC,DENTON,TX
TX-611,Amarillo CoC,AMARILLO,TX
TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",Wichita Falls,TX
TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",HOUSTON,TX
TX-701,"Bryan, College Station/Brazos Valley CoC",BRYAN,TX
UT-500,Salt Lake City & County CoC,Salt Lake City,UT
UT-503,Utah Balance of State CoC,Salt Lake City,UT
UT-504,Provo/Mountainland CoC,PROVO,UT
VA-500,"Richmond/Henrico, Chesterfield, Hanover Counties CoC",Richmond,VA
VA-501,"Norfolk, Chesapeake, Suffolk/Isle of Wight, Southampton Counties CoC",Norfolk,VA
VA-502,"Roanoke City & County, Salem CoC",SALEM,VA
VA-503,Virginia Beach CoC,Virginia Beach,VA
VA-504,Charlottesville CoC,CHARLOTTESVLE,VA
VA-505,"Newport News, Hampton/Virginia Peninsula CoC",Hampton,VA
VA-507,Portsmouth CoC,Portsmouth,VA
VA-508,Lynchburg CoC,Lynchburg,VA
VA-513,"Harrisburg, Winchester/Western Virginia CoC",Woodstock,VA
VA-514,"Fredericksburg/Spotsylvania, Stafford Counties CoC",FREDERICKSBRG,VA
VA-521,Virginia Balance of State CoC,Richmond,VA
VA-600,Arlington County CoC,Arlington,VA
VA-601,Fairfax County CoC,Vienna,VA
VA-602,Loudoun County CoC,LEESBURG,VA
VA-603,Alexandria CoC,ALEXANDRIA,VA
VA-604,Prince William County CoC,Wood,VA
VI-500,Virgin Islands CoC,Christiansted,VI
VT-500,Vermont Balance of State CoC,WHITE RIV JCT,VT
VT-501,Burlington/Chittenden County CoC,BURLINGTON,VT
WA-500,Seattle/King County CoC,"Renton,",WA
WA-501,Washington Balance of State CoC,Bremerton,WA
WA-502,Spokane City & County CoC,Spokane,WA
WA-503,"Tacoma, Lakewood/Pierce County CoC",Tacoma,WA
WA-504,Everett/Snohomish County CoC,EVERETT,WA
WA-508,Vancouver/Clark County CoC,VANCOUVER,WA
WI-500,Wisconsin Balance of State CoC,JANESVILLE,WI
WI-501,Milwaukee City & County CoC,Milwaukee,WI
WI-502,Racine City & County CoC,RACINE,WI
WI-503,Madison/Dane County CoC,MADISON,WI
WV-500,"Wheeling, Weirton Area CoC",WHEELING,WV
WV-501,"Huntington/Cabell, Wayne Counties CoC",HUNTINGTON,WV
WV-503,"Charleston/Kanawha, Putnam, Boone, Clay Counties CoC",Charleston,WV
WV-508,West Virginia Balance of State CoC,Bridgeport,WV
WY-500,Wyoming Statewide CoC,SHERIDAN,WY
,Total,,
,,,
"a MO-604 covers territory in both Missouri and Kansas. The record described in this file represents the CoC's total territory, the sum of the point-in-time estimates the CoC separately reported for the portions of its territory in MO and in KS. However, in the companion file, Point-in-Time Estimates by State, MO-604's data have been split up between MO and KS.",,,
